CLIENTNUM,Education_Level
711318033,Graduate
783554958,Graduate
720201033,Graduate
718039683,High School
710806083,Uneducated
714752208,Graduate
822063408,Unknown
714490308,Graduate
713356833,Graduate
711402333,Doctorate
708296883,Graduate
719154483,High School
717721458,College
711112683,College
715674483,Post-Graduate
789322833,High School
789968058,Unknown
709919283,Graduate
718744008,Graduate
767712558,College
712950783,Uneducated
716104983,Graduate
818839983,Graduate
772288758,Graduate
712350858,High School
711009708,High School
712720158,Graduate
712215258,Graduate
773827008,Uneducated
795232683,College
713786508,Unknown
713539833,High School
712454058,Doctorate
718759833,Uneducated
718803333,Graduate
720253908,High School
714133158,College
713187033,Uneducated
714791208,Unknown
772426383,Uneducated
710975883,Uneducated
714264408,Uneducated
715827858,Uneducated
713741358,Graduate
709531908,High School
716493408,Uneducated
714141108,High School
708953883,Unknown
712608783,High School
820353558,High School
714964758,Graduate
716264358,Uneducated
717296808,Graduate
712977183,Uneducated
710829108,Uneducated
779562633,Uneducated
715315833,Graduate
815500983,Uneducated
719360583,Graduate
709701558,Graduate
721148358,Uneducated
779862408,Post-Graduate
812627208,College
711033408,High School
779956608,Post-Graduate
780376683,Graduate
717912483,Graduate
714454758,Graduate
780466533,Doctorate
715735233,Post-Graduate
720476733,High School
715872333,High School
712375758,Uneducated
708868233,High School
718030083,College
720707283,Unknown
771698658,Graduate
748326258,College
770817783,Graduate
779353083,Graduate
711441333,High School
719808558,Graduate
711551958,Post-Graduate
809164083,Graduate
820596183,College
715999608,High School
710565408,Unknown
805543158,Graduate
709752183,High School
716479233,High School
713837058,College
718876683,Graduate
770746908,Unknown
794843883,High School
803043933,Uneducated
758076408,Unknown
714606558,Uneducated
778425408,Graduate
714171108,Graduate
719662458,Graduate
713137233,High School
769425858,College
711297483,Uneducated
788900883,Graduate
758348808,Graduate
772336458,Uneducated
708711483,Unknown
717906783,Graduate
719437908,Post-Graduate
769433508,College
790096533,College
720997383,Uneducated
787541883,Graduate
709930758,Uneducated
789830058,Unknown
710299608,Unknown
710741208,High School
821797008,College
708874533,College
715341858,Graduate
793636308,Uneducated
713779908,Doctorate
712125258,High School
709703433,Graduate
721022433,Doctorate
710103558,Post-Graduate
715952883,High School
719731458,Unknown
772390908,High School
787348608,High School
709485033,High School
715432608,Unknown
799471833,Uneducated
714187533,Uneducated
779656908,Graduate
788950158,College
778867533,Post-Graduate
710620383,Unknown
778661358,Unknown
789483333,Uneducated
809855808,Graduate
718464258,Unknown
708528483,Graduate
771809733,High School
719942883,Graduate
807226683,Unknown
717806133,Uneducated
720615708,Uneducated
714511758,Graduate
715050408,High School
721132233,Uneducated
719211558,Graduate
712069008,Uneducated
715996983,Uneducated
773466258,High School
798983508,Graduate
719117433,High School
716451183,Uneducated
718621608,High School
715085733,Graduate
788977833,Uneducated
720272958,High School
708421833,Graduate
709173108,Graduate
709879458,Doctorate
715120608,Graduate
770632758,Doctorate
779078733,Doctorate
771742533,Graduate
720250158,College
716458983,High School
713747733,High School
712270158,High School
789562383,High School
754897008,High School
819700533,High School
712890408,Uneducated
720248208,Post-Graduate
779749908,College
717401883,Uneducated
721509558,Graduate
710572458,High School
714576183,Graduate
721425558,Graduate
711109908,Uneducated
715203108,High School
710027508,Graduate
787464408,Uneducated
783542133,Graduate
708330858,Graduate
714426783,Graduate
712701333,High School
709494483,Unknown
773373108,High School
715812258,High School
778286433,Graduate
789270033,Graduate
711569433,Uneducated
720214833,High School
709346133,Uneducated
788194458,High School
720779733,Uneducated
717424458,Post-Graduate
708820308,Post-Graduate
710558058,Unknown
770590758,Graduate
718490658,Graduate
711985833,Uneducated
708967608,Graduate
718505958,Graduate
715024233,High School
779249583,Graduate
709278258,Unknown
778928283,High School
712299858,High School
799224108,Graduate
809976033,Uneducated
716203308,Graduate
714871683,Uneducated
716139933,High School
716984658,Graduate
713086008,High School
713773458,High School
719242533,High School
772712658,Uneducated
788868858,Graduate
811898133,High School
788808633,Graduate
779804208,Graduate
781391058,Uneducated
790134408,Graduate
788853258,Uneducated
711857733,Uneducated
822969858,Graduate
719554758,Uneducated
711643458,Uneducated
788830683,Graduate
807030858,High School
793059108,Graduate
716568708,Graduate
828281733,Unknown
717229158,Graduate
715915458,Graduate
819129858,Graduate
713441958,High School
719091333,Uneducated
708666258,Unknown
714914583,Graduate
714363858,High School
721347408,High School
809608533,Post-Graduate
772047183,High School
714217908,Graduate
714819183,Uneducated
716455683,High School
710865633,Graduate
752952108,Graduate
712595433,Uneducated
714982383,High School
813814008,High School
794545983,Graduate
708288108,Post-Graduate
715585158,Graduate
810449883,Unknown
789863208,Graduate
715022133,Graduate
712506708,College
715699983,High School
818942433,Unknown
712459233,Post-Graduate
716545383,Uneducated
721144383,Graduate
821837958,College
804359133,High School
713308683,Uneducated
788780958,Uneducated
717354558,Uneducated
798473808,College
712372158,Unknown
715192308,High School
708813033,Graduate
714639783,College
709311633,Graduate
709470858,College
717292758,Graduate
779241783,Uneducated
715205358,Graduate
778871508,Post-Graduate
779462433,Unknown
710147958,High School
709864833,Post-Graduate
778868958,Graduate
717276708,Unknown
710004933,Uneducated
753606108,Unknown
710940183,Graduate
718927533,Graduate
719337408,High School
772308408,Graduate
712981383,College
790099758,High School
709547658,Uneducated
778770783,High School
713134458,High School
712159083,Unknown
713639958,Graduate
771180033,Unknown
717916758,Unknown
711089733,College
716988633,High School
779031033,Graduate
716302383,Uneducated
718281408,Unknown
721333233,Doctorate
794496033,Unknown
710519433,Unknown
814995933,Graduate
721469433,Graduate
788386908,Graduate
717198633,College
767695083,Graduate
711791583,Graduate
712315683,Uneducated
710038008,Graduate
789129033,Unknown
718349058,High School
789842283,Graduate
714513033,Unknown
714717483,Uneducated
714900408,High School
719418933,Uneducated
720115683,Uneducated
779504058,Post-Graduate
795979833,High School
717392358,Graduate
718640508,Graduate
803366358,Unknown
709230708,Uneducated
781794708,Post-Graduate
801383808,Graduate
710677608,Post-Graduate
708217758,Graduate
714272658,Uneducated
717469158,Unknown
711864783,Uneducated
719407983,Post-Graduate
710665533,Doctorate
716804283,Uneducated
767294658,College
709122483,Graduate
708241233,Post-Graduate
717860358,High School
789337233,Graduate
720902133,High School
721043058,Unknown
711870333,Uneducated
708398283,Graduate
715878183,Graduate
719451483,Post-Graduate
709110633,Graduate
721059033,High School
779912283,Graduate
717701733,Graduate
709913733,College
718768158,College
721375308,High School
711374283,High School
822893133,Uneducated
778465533,College
712138983,Graduate
716920908,High School
708095133,Unknown
711195558,College
772735758,Unknown
712024908,College
778239933,Graduate
714893733,High School
754886958,College
710104908,College
710558883,Uneducated
713827383,High School
720267033,Post-Graduate
712049208,Post-Graduate
708688608,High School
716223708,Uneducated
713217858,Uneducated
819352983,Unknown
711019308,High School
768600558,Graduate
710202783,Graduate
712899333,College
767036433,Graduate
793473033,Graduate
721232058,Graduate
719443683,Unknown
715449333,Unknown
717998058,Graduate
779610033,College
827332983,High School
721183983,High School
718426533,Uneducated
710698233,Graduate
780253533,Unknown
793581933,High School
719229708,High School
715158483,Graduate
809296308,College
778176108,High School
796532958,Unknown
709345008,Doctorate
717049533,Doctorate
719366358,High School
721417233,Graduate
711622683,Unknown
714578283,Graduate
769574883,High School
717643608,College
709198158,Graduate
712419708,Post-Graduate
709103358,College
716966808,Graduate
772264383,Graduate
721057758,Unknown
769137108,Post-Graduate
717640083,High School
716445783,Uneducated
708579633,Unknown
718715583,Unknown
778686408,College
715015683,Graduate
805254708,Unknown
710462433,Graduate
721342383,Graduate
720179883,College
794977533,High School
779445108,Graduate
718193958,Uneducated
710955633,Doctorate
716149383,Graduate
752604633,College
713889933,Graduate
709446783,Graduate
789115833,High School
711242058,Unknown
787623858,Uneducated
709040508,Uneducated
708864708,College
717758583,High School
715416633,Unknown
717956283,Graduate
721379433,Graduate
712027683,Doctorate
716027208,Doctorate
720475233,High School
712275108,College
718121658,College
711593808,High School
716222808,High School
718731183,Unknown
788779008,High School
710404533,Graduate
711173058,Unknown
715383108,Graduate
711697158,Graduate
709186983,Uneducated
808964433,Doctorate
711948333,Uneducated
710541858,High School
713865333,Uneducated
797707008,Doctorate
713490483,Uneducated
720370533,Uneducated
779743908,Unknown
718675158,Unknown
710784333,Unknown
816596583,Doctorate
717517758,High School
712880283,Uneducated
753226158,Graduate
720605808,Graduate
758317233,College
711028308,Graduate
814852533,Graduate
711526533,Post-Graduate
804403908,Graduate
716999883,High School
716452083,Unknown
787599258,Graduate
714495258,College
717713283,Graduate
789317883,College
714500883,Graduate
789467508,Graduate
710317758,High School
711231558,High School
716829483,Post-Graduate
779713608,High School
711628458,Graduate
718943508,Unknown
770724558,College
783561558,Post-Graduate
719309958,Doctorate
788785083,College
780481308,Graduate
711757383,Unknown
787550808,Graduate
779863533,Graduate
714529233,Graduate
708177333,High School
812019933,Uneducated
708557358,College
713580633,Graduate
711466533,Graduate
802276683,Graduate
780913308,Unknown
808897683,Graduate
719428308,High School
713010483,Graduate
717006333,High School
787621158,Unknown
716924058,Uneducated
720916683,Graduate
720923658,Post-Graduate
712710708,High School
718939083,Graduate
779519058,Post-Graduate
719085933,Graduate
715124958,Uneducated
712979133,High School
712006308,College
710801133,Uneducated
712490283,Graduate
720071583,Unknown
717958833,Graduate
812420358,Graduate
712370208,Uneducated
715940358,Graduate
715041333,Doctorate
712797258,Graduate
769170558,Graduate
715884858,High School
796343058,High School
783910008,Unknown
718888308,Graduate
785114808,Post-Graduate
709852908,Uneducated
823528833,Unknown
719679858,Uneducated
827108583,High School
787833333,College
719781183,High School
710429358,High School
798792408,High School
710280558,Graduate
809825358,Uneducated
714451833,Doctorate
713943783,Post-Graduate
710706558,Graduate
713620308,High School
813453408,College
818248383,Doctorate
780106908,High School
708938508,High School
709671708,Uneducated
711204483,High School
801728658,Graduate
713945883,Graduate
779558733,Unknown
788370258,Graduate
714927333,Graduate
710383158,Uneducated
798007308,High School
711768858,High School
714888633,Graduate
712650333,College
719945433,Uneducated
720310458,Unknown
718344033,College
715442958,Uneducated
780326883,Doctorate
711157833,Graduate
719704308,High School
708772308,Uneducated
817663908,Graduate
780054258,Graduate
709990983,Post-Graduate
818045958,Graduate
716380683,High School
787480158,Unknown
778461408,High School
713861733,Graduate
789291633,Graduate
789513858,Unknown
778357458,Unknown
718325883,Uneducated
720344658,College
809292483,College
779791008,High School
779557533,Post-Graduate
795904233,Unknown
710573808,Unknown
717418158,Unknown
771963708,Unknown
712433508,Unknown
779320983,Uneducated
718093233,Post-Graduate
719459358,Doctorate
717728808,Graduate
788701608,Graduate
778506633,College
719989008,High School
791839233,Unknown
716918508,College
717321783,Uneducated
799000008,Post-Graduate
721517208,Unknown
719068683,High School
709120008,High School
709117533,High School
816594183,Uneducated
789485433,College
712881483,Post-Graduate
712689333,Unknown
771492408,Graduate
711668283,Uneducated
772684833,Unknown
712960308,High School
713530833,Graduate
756065433,Unknown
710997183,Unknown
711146358,Graduate
716144058,College
778699908,Uneducated
713571258,Unknown
711676908,College
719315508,Unknown
778623858,Uneducated
714665733,Graduate
816089433,Doctorate
716991933,Uneducated
714534108,High School
787456608,High School
717090183,Doctorate
772782708,Post-Graduate
710722908,Doctorate
795155433,Unknown
715271733,Uneducated
771706308,Doctorate
713989233,Post-Graduate
780198258,College
802002858,High School
716290233,Graduate
828298908,Graduate
788946783,Unknown
720697908,High School
780598383,Doctorate
715345833,High School
710831133,Unknown
766706358,Unknown
816533733,Unknown
712373208,Doctorate
721433283,High School
720680058,Post-Graduate
716909283,Post-Graduate
754654383,High School
719226333,Unknown
779759058,Graduate
718206783,Unknown
715783758,Graduate
771190083,Post-Graduate
713135883,High School
778799583,Unknown
808796208,Unknown
708313608,Unknown
779330208,College
794498733,Unknown
807964908,High School
823845783,Unknown
711748983,High School
718064283,Uneducated
710492733,Post-Graduate
779016408,Uneducated
717787533,High School
714851058,Graduate
823535133,Uneducated
708455883,Graduate
780095808,Unknown
709207458,Graduate
763895958,High School
715942683,Graduate
721301733,Graduate
711927108,High School
718083483,Uneducated
717548358,College
816829608,Unknown
713936583,Graduate
709682658,High School
793889508,Graduate
714648933,Graduate
711556533,Graduate
717420333,High School
768921933,High School
714311583,Graduate
717707133,Unknown
716043258,Unknown
716343408,Graduate
718909158,College
719471433,Graduate
712763808,Unknown
711147483,Graduate
719788833,High School
715168983,Graduate
714306258,College
713828208,Uneducated
710574558,Graduate
710947683,Graduate
711113958,Unknown
718923858,College
752666508,College
712672083,High School
719863758,Post-Graduate
720990183,High School
720718908,Uneducated
721250358,Unknown
779773533,Unknown
708249708,Doctorate
713967783,Unknown
779506158,College
759823158,Unknown
716608608,Uneducated
789528183,Graduate
708895158,Unknown
824805858,Uneducated
720840108,Uneducated
787595658,Unknown
720244983,Unknown
713220258,High School
813469458,Graduate
788939358,High School
718870158,High School
788673708,High School
711809283,Unknown
816513108,Graduate
718594608,Post-Graduate
823606983,College
717028158,Graduate
788485908,Unknown
714472608,College
710793783,Graduate
794340033,Uneducated
716462658,Doctorate
718050033,College
714023808,Graduate
716341833,College
719648358,Graduate
816600933,College
714208533,High School
713095533,High School
809967783,Graduate
715848408,Graduate
714414483,Unknown
708655983,High School
720426708,High School
713743158,Graduate
721279083,Graduate
779149683,Graduate
714970458,High School
719070108,Graduate
715490733,Uneducated
714989583,Graduate
820355433,Unknown
715901508,High School
710370483,College
778573233,Graduate
708833133,Graduate
719885883,College
712523283,Unknown
711309033,Unknown
708134283,Uneducated
720147633,Unknown
708983658,Uneducated
766285608,High School
779715108,Unknown
798035358,High School
719391783,Uneducated
809342208,Graduate
780713058,High School
779338683,Graduate
783387783,Uneducated
787800108,College
721397808,High School
778698408,Uneducated
709545333,High School
716032233,College
717835908,Post-Graduate
719466558,High School
778663458,High School
716024808,Graduate
713008308,Unknown
794831733,Graduate
713854608,Uneducated
715993608,College
789368658,Graduate
802817358,High School
708098133,Graduate
801499908,Graduate
824770683,Unknown
718310733,Unknown
708162558,Uneducated
721129383,Doctorate
721249158,Uneducated
721049658,Graduate
806392908,High School
714886533,High School
772375533,Graduate
826775058,Uneducated
711878733,Uneducated
714550383,High School
712636308,High School
772139433,College
709058808,College
813240408,High School
767753958,Graduate
710111733,High School
761544333,College
788814783,Uneducated
715034358,Graduate
709624533,High School
709942383,Graduate
803957508,Unknown
713378133,Post-Graduate
709217358,Post-Graduate
720998358,High School
721051908,Graduate
715232058,Post-Graduate
806250783,High School
817245183,Unknown
713670333,Unknown
826477083,College
788728608,High School
717190533,High School
716580033,High School
711644508,Uneducated
714334383,Graduate
720611058,Graduate
712420833,College
713845083,High School
713756508,Graduate
735565158,Graduate
714131058,Graduate
717180633,Post-Graduate
717295683,Doctorate
713128833,Unknown
813499458,High School
710070183,High School
789605658,Doctorate
710045058,High School
710164683,Graduate
710802258,Graduate
721036233,High School
710036508,Uneducated
717776808,Graduate
714906033,Graduate
714273708,Graduate
721117533,Graduate
715374558,College
824807658,Graduate
714940608,High School
824782008,High School
717561108,Graduate
717127083,Graduate
772460508,Uneducated
720484908,Post-Graduate
771237933,Uneducated
794664183,Uneducated
797488158,High School
708543258,High School
778706508,College
712240083,Unknown
713650683,Graduate
772532208,Doctorate
778929783,Graduate
714244383,College
718797558,Graduate
712821333,Uneducated
721120008,Uneducated
709633533,Uneducated
710789058,Graduate
716174433,College
789886533,High School
715210308,High School
721038408,High School
713325108,Post-Graduate
720352533,High School
708431433,Graduate
716996583,High School
718699683,College
771359958,Unknown
716604633,Post-Graduate
813952233,Graduate
713053383,Graduate
709979583,Graduate
709380333,Uneducated
778574283,Uneducated
789875883,Uneducated
714661233,Graduate
813915933,Graduate
708358683,Graduate
824761458,High School
715362183,Graduate
721194858,Graduate
803595858,High School
716198358,Post-Graduate
714173808,Graduate
709465758,Post-Graduate
714081558,Graduate
717364458,High School
778755858,Graduate
710754933,Graduate
720007383,Unknown
810220833,Graduate
718362783,Graduate
708267858,High School
708856983,Post-Graduate
715588908,Graduate
772674933,Uneducated
720148983,Uneducated
720650208,College
769732233,Graduate
713030958,College
711320508,Graduate
795795408,Uneducated
717904383,Graduate
714115533,Graduate
712475733,High School
718996758,Graduate
713049933,High School
709961958,High School
718301508,High School
714831033,Graduate
710653158,Graduate
721265883,Graduate
715049583,Unknown
715394883,High School
773448558,Graduate
717249783,Unknown
708344358,High School
712003083,Graduate
754282908,Post-Graduate
717412608,High School
719412258,Graduate
788675658,Unknown
717683583,High School
820584408,Graduate
719392833,Graduate
718595583,Graduate
778508883,Graduate
715511658,Post-Graduate
711999783,Uneducated
753856008,Unknown
789920883,Graduate
788677533,Unknown
716284308,Graduate
712120608,College
715482483,High School
720848733,High School
708480333,Unknown
826723308,College
801369258,Post-Graduate
709584483,Graduate
715708308,Doctorate
779707308,Graduate
711688158,Graduate
711848658,College
715855083,High School
778971408,Doctorate
711648708,Graduate
713149683,College
771903033,Graduate
737925558,Doctorate
803347908,Graduate
817285758,Graduate
711480108,High School
709662708,High School
709224858,Post-Graduate
821771508,High School
712216533,Unknown
710522433,Graduate
779046408,Graduate
708595158,Graduate
757266933,Post-Graduate
816776283,High School
719904333,Graduate
718264233,High School
784798683,High School
710899833,Graduate
780025908,Post-Graduate
713610033,Post-Graduate
709364433,High School
713086908,High School
709793133,Unknown
710032608,Graduate
779351208,Unknown
719776608,Graduate
709220583,Graduate
719555733,Uneducated
740852733,High School
709528308,High School
715127208,Doctorate
817144458,Graduate
710628783,High School
772145658,Uneducated
739594758,Graduate
789198708,Graduate
720953658,Graduate
771330558,High School
714078558,High School
712207683,Unknown
788826408,Uneducated
790128033,High School
718082208,Graduate
712037358,Unknown
711711483,High School
718861458,Unknown
709426608,Doctorate
811457058,Post-Graduate
773073558,Graduate
715937133,Uneducated
713480583,High School
716383683,Post-Graduate
713693958,Uneducated
715443708,Uneducated
770769483,Post-Graduate
789326808,College
712105533,High School
720674133,Uneducated
779216358,College
717322833,Unknown
710279508,Graduate
712168833,High School
780581508,Doctorate
711957708,Graduate
778782858,Graduate
712924383,Unknown
709366458,College
796990908,Post-Graduate
715702758,Graduate
788974608,Graduate
714790008,Unknown
787438983,College
713834358,Post-Graduate
710084883,College
710736558,Unknown
788915283,College
714916758,Uneducated
789611283,Graduate
773288958,Graduate
811721133,High School
813961233,Unknown
783020958,Unknown
715764483,High School
798110358,High School
715745508,Graduate
714350658,Graduate
826478958,College
719127558,High School
712454958,Graduate
718561458,High School
822984108,High School
719469333,High School
720871383,Graduate
788827308,Graduate
710180958,High School
778346283,Graduate
787547208,College
714983283,High School
789344358,Unknown
710406633,Uneducated
767653233,Graduate
719461008,High School
789731433,Unknown
775198608,Graduate
717567333,Graduate
772794108,Doctorate
712072908,College
709328733,Uneducated
788107683,High School
713757633,Unknown
713279808,Unknown
712440483,Uneducated
715078383,Graduate
709214358,Graduate
778399008,High School
811534983,Graduate
719728383,Graduate
718726833,High School
780605508,Unknown
719450508,High School
711213108,College
708488208,Uneducated
717206508,High School
821836008,Uneducated
807244983,College
821872758,High School
809959683,College
715079208,College
767049258,High School
709579383,Uneducated
781923483,College
718654533,High School
716169258,Graduate
713908683,Unknown
708212658,Graduate
756013833,Doctorate
719358333,Uneducated
713735508,Uneducated
805259733,Unknown
738749733,Doctorate
814833408,Doctorate
719182308,High School
818497758,Graduate
719518308,Unknown
709991883,Graduate
770901258,Graduate
711499158,Uneducated
720445533,College
809951133,College
714657108,Uneducated
789048858,Post-Graduate
771816408,Uneducated
798158808,College
787685658,High School
720141408,Graduate
788699808,Unknown
708216108,College
715074258,Graduate
771653583,High School
717374358,Unknown
720836808,High School
818701383,High School
717277833,Graduate
778137108,High School
720973833,Graduate
768490458,Uneducated
751487358,Graduate
712742808,Uneducated
712820208,High School
794649858,Uneducated
755262933,Post-Graduate
709541433,Graduate
820622433,High School
712586583,Graduate
709816158,Unknown
712196508,High School
767269908,College
710927733,Unknown
711310908,College
788862333,Uneducated
713194608,Graduate
793550958,Graduate
712607583,College
713921058,High School
709183683,Uneducated
713407458,Graduate
715241583,High School
710475408,High School
708971583,Uneducated
714547458,Graduate
827631483,High School
711159108,High School
789262683,Unknown
712940508,Unknown
789733008,High School
714703158,High School
710255208,Uneducated
779236083,High School
713438358,Graduate
715973583,Uneducated
794113758,High School
709452633,High School
788210583,College
717784983,Uneducated
786557358,Unknown
768460908,Graduate
718899708,College
714697533,High School
713206683,Graduate
708679383,Unknown
713067033,Uneducated
789314133,High School
713956308,Graduate
711595833,College
779521533,High School
715225458,Uneducated
716487408,Graduate
719338383,High School
710523333,Graduate
787489083,Post-Graduate
720747633,Unknown
779480658,Graduate
711498258,High School
709316433,High School
778734108,Uneducated
778388358,Graduate
716773533,Graduate
822130683,Graduate
717268458,Graduate
827888433,Uneducated
716522583,College
789415983,Graduate
719819958,Uneducated
769579608,Graduate
772353408,Unknown
716615583,High School
781131483,High School
719101908,Graduate
720521808,Graduate
718136283,Uneducated
778855383,High School
779722308,High School
818926833,College
721217283,Graduate
717167283,Unknown
713371233,Graduate
778426608,Graduate
713823033,Unknown
787515333,Uneducated
710944608,Graduate
718444233,Graduate
771099183,Graduate
770241333,Graduate
710819733,Graduate
772155108,High School
798796233,High School
815472108,High School
769145733,Graduate
783364233,Graduate
772236108,Graduate
715640358,High School
713529858,Graduate
715684308,Graduate
709451508,High School
709204158,Post-Graduate
713182458,High School
710624658,Uneducated
716355783,Unknown
716793108,College
716162583,Unknown
714051033,Graduate
715007583,Unknown
719139558,Uneducated
794632308,Graduate
770662383,Graduate
714787383,College
714700158,Unknown
710581758,Graduate
720497958,Graduate
720920058,Graduate
710872233,Unknown
709855608,High School
815484783,Uneducated
771602883,High School
755953308,Post-Graduate
758408883,Graduate
717940008,Unknown
720917808,High School
812801958,Unknown
714997683,Graduate
709379283,Graduate
711840408,College
785328408,Graduate
719873808,College
715528983,Uneducated
720254883,High School
811980858,Graduate
711330408,College
718465458,Unknown
710616183,Uneducated
714580158,Post-Graduate
710798883,Graduate
720511608,Graduate
708913233,High School
788038383,Graduate
719905908,Uneducated
807044958,High School
719514783,Post-Graduate
787643658,Graduate
779138883,Graduate
708173433,Unknown
778401033,High School
818375733,College
711048783,Doctorate
721415658,Graduate
717961458,Uneducated
718563483,Unknown
717128283,High School
718068933,Uneducated
718623783,College
716565258,Doctorate
712505658,Unknown
792565908,Uneducated
709267308,Graduate
710035008,Uneducated
790082508,High School
716866308,High School
709707033,Graduate
718346658,Graduate
824157858,Graduate
709735008,High School
814593858,High School
718416858,Graduate
710307933,College
715870758,Graduate
713819283,Uneducated
710424408,Graduate
709493283,Unknown
712489158,Uneducated
719013108,Graduate
721178583,Graduate
717769008,Graduate
709986633,High School
721062408,Uneducated
771349458,Graduate
780557658,Uneducated
771441558,Post-Graduate
756409758,Graduate
720009558,College
778885158,Uneducated
715543908,Uneducated
717591483,Graduate
715042608,Doctorate
755959683,Unknown
715367058,College
714573258,Post-Graduate
712281183,Graduate
717670758,Graduate
720666333,Unknown
771556308,High School
708931908,High School
718894233,Graduate
771544533,High School
708927108,Graduate
717831783,Uneducated
709288383,Graduate
710813733,Uneducated
721084833,High School
711258108,College
710149008,High School
711902058,Graduate
716757033,Post-Graduate
712688433,High School
713203908,Uneducated
711772008,Graduate
708799983,Post-Graduate
778882758,Unknown
709157133,Unknown
741344808,Graduate
739692933,Unknown
766429908,High School
802087683,Post-Graduate
712491108,Post-Graduate
714767508,Graduate
720376008,Graduate
779126658,Graduate
793222008,High School
720812433,College
717623583,High School
708878508,High School
710043408,Graduate
789079758,Doctorate
721311333,High School
710749458,Doctorate
778275783,Unknown
799498158,Post-Graduate
716334258,Uneducated
716075208,High School
780276258,High School
789282333,Graduate
811571733,Unknown
709429533,Graduate
715247508,Graduate
718784358,Uneducated
751450008,Post-Graduate
719227233,Unknown
711050058,Uneducated
779040408,High School
714024858,High School
789849108,Graduate
710391258,Graduate
718830183,High School
779696883,Graduate
719249733,Unknown
737971833,Graduate
772468983,Post-Graduate
710990283,High School
808750458,Doctorate
719692983,Doctorate
719125158,High School
787509408,College
719206308,High School
717141858,High School
713172408,Unknown
720314583,Unknown
708347583,Uneducated
711006783,Graduate
718274283,College
803977008,Unknown
715216908,Doctorate
779611008,Graduate
811467708,Graduate
812597508,High School
718651083,Graduate
708577308,Unknown
813990483,High School
816319008,Graduate
789627258,Graduate
713346558,Graduate
708744933,High School
708828258,College
713511108,Uneducated
710208633,Graduate
824165658,Unknown
826513233,Unknown
788789658,Unknown
717837858,College
709382958,Graduate
716253858,Post-Graduate
713725683,College
710364258,Uneducated
816033783,High School
715065483,Graduate
718751133,Unknown
713983308,Post-Graduate
718418958,Post-Graduate
779367858,High School
711285633,Unknown
714974658,College
716374308,Graduate
713416233,Graduate
797643708,High School
808292958,Graduate
719831958,College
708860358,High School
717385983,Graduate
719049033,High School
717581658,Unknown
714347508,Uneducated
803833608,Uneducated
712576908,High School
778511733,College
721464783,Graduate
821179233,Post-Graduate
713126733,College
719688408,Graduate
779811183,Uneducated
771086208,Graduate
715217733,High School
813752433,Graduate
711876333,Graduate
715256658,College
711329658,High School
710227908,Graduate
716362008,Doctorate
714939708,Graduate
708083283,Unknown
719431608,College
769411758,Graduate
714248733,Unknown
804481608,Unknown
714631833,Graduate
769751958,Unknown
717999183,High School
713075283,High School
711561108,Graduate
709854483,High School
713630733,Graduate
717599283,Doctorate
806407308,College
712730583,Uneducated
712142733,Post-Graduate
720153258,College
814086333,College
715524708,Unknown
713307708,Unknown
714069858,Graduate
712789383,Graduate
787983633,Uneducated
758583708,Graduate
717130383,Uneducated
720770883,Graduate
716797758,Unknown
713835258,Unknown
720677733,Graduate
718587858,High School
710263608,High School
